SiO2,MgO,Na2O,Al2O3,CaO,Toughness
75.0, , 15.0, , 10.0,0.72
75.0, 2.5, 15.0, , 7.5,0.74
75.0, 3.75, 15.0, , 6.25,0.76
75.0, 5.0, 15.0, , 5.0,0.77
75.0, 5.5, 15.0, , 4.5,0.79
75.0, 6.25, 15.0, , 3.75,0.86
75.0, 7.0, 15.0, , 3.0,0.9
75.0, 7.5, 15.0, , 2.5,0.93
75.0, 10.0, 15.0, , ,1.07
65.0, , 20.0, , 15.0,0.73
75.0, , 15.0, , 10.0,0.64
70.0, , 15.0, , 15.0,0.68
66.7, , 25.0, , 8.3,0.74
66.64, , 16.68, , 16.68,0.7
66.7, , 33.3, , ,0.97
60.0, , 40.0, , ,0.8
73.84, 2.83, 13.58, 1.49, 8.25,0.78
60.0, 20.0, , 20.0, ,1.16
60.0, 10.0, , 20.0, 10.0,0.99
60.0, , 20.0, 20.0, ,0.57
60.0, , 20.0, 20.0, ,0.93
73.82, , 14.99, , 11.19,0.69
76.3, , , 11.7, 12.0,1.38
73.1, , , 13.2, 13.7,1.4
69.5, , , 15.0, 15.5,1.34
66.0, , , 16.7, 17.3,1.36
66.0, , , 16.7, 17.3,1.3
59.5, , , 20.1, 20.4,1.32
56.4, , , 21.7, 21.9,1.26
53.96, , , 22.52, 23.52,1.27
53.96, , , 22.52, 23.52,1.22
47.9, , , 25.7, 26.4,1.28
45.3, , , 27.1, 27.6,1.3
42.7, , , 28.4, 28.9,1.24
40.5, , , 29.6, 29.9,1.26
37.7, , , 31.1, 31.2,1.21
35.2, , , 32.3, 32.5,1.22
69.77, , , 5.91, 24.32,1.18
69.47, , , 8.91, 21.62,1.32
69.4, , , 10.4, 20.2,1.25
69.67, , , 11.81, 18.52,1.41
69.4, , , 13.4, 17.2,1.33
69.6, , , 14.8, 15.6,1.52
69.8, , , 17.7, 12.5,1.55
35.2, , , 19.6, 45.2,1.08
36.3, , , 22.2, 41.5,1.09
35.6, , , 28.4, 36.0,1.15
33.2, , , 33.1, 33.7,1.29
49.8, 8.52, , , 41.68,0.97
50.95, 16.42, , , 32.63,0.71
50.55, 24.37, , , 25.08,0.83
50.2, 33.1, , , 16.7,0.73
50.1, 35.7, , , 14.2,0.92
48.94, 37.29, , , 13.77,0.96
53.1, 39.22, , , 7.68,0.83
71.48, 5.91, 14.4, 1.11, 7.1,0.75
71.48, 5.91, 14.4, 1.11, 7.1,0.75
71.0, 6.0, 13.0, , 10.0,0.7
68.0, 14.0, 8.0, 10.0, ,0.84
50.0, 10.0, 10.0, 30.0, ,0.87
50.0, , 25.0, 25.0, ,0.56
71.78, 5.86, 13.35, 0.58, 8.43,0.5
80.0, , 20.0, , ,0.7
71.0, 6.0, 13.0, , 10.0,0.73
